Xc_factors,maximal_lifespan,SEs
1.0,109.42653007661242,0.25167551893905593
1.05,110.54283433808602,0.2037155467620646
1.1,111.11500466071092,0.29487807473914446
1.1500000000000001,111.80964194072703,0.19990062309871587
1.2000000000000002,112.44995989611148,0.22376579141648312
1.2500000000000002,112.79374803449386,0.1858253115544368
1.3000000000000003,113.19650046500078,0.2185156760659704
1.3500000000000003,113.95052030528925,0.24166859316538863
1.4000000000000004,114.50098180492405,0.18742815888625888
1.4500000000000004,114.74481126926344,0.1649854214687506
1.5000000000000004,115.76346601066489,0.16814622409401675
