year,xc_variant,xc_factor,h_ext,n,from_age,random_seed,Median,Top 10%,Top 1%,Top 0.01%
1900,low,0.8131478289636971,0.0065262362753043,200000,20,3353671086,70.00294811320754,86.4313961038961,95.2495892857143,104.4866925
1900,central,0.8612225096708863,0.0065262362753043,200000,20,144525913,72.54893617021278,88.4825,96.96182352941176,105.61756
1900,high,0.9009554492272798,0.0065262362753043,200000,20,2285583801,74.28045977011493,89.93776041666666,98.22855263157894,106.72285000000001
1950,low,0.8089979715055594,0.0009471149612417,200000,20,3518207980,75.17548387096772,88.17567307692308,96.295725,104.64529
1950,central,0.8503373103793845,0.0009471149612417,200000,20,2519645449,77.43453525641024,90.00113461538461,97.79809,105.8345225
1950,high,0.8861046179766926,0.0009471149612417,200000,20,536767974,79.1873520710059,91.34571739130435,98.90336458333334,107.35442250000001
2000,low,0.8817282685007926,0.0003346109149408,200000,20,114345189,79.54287634408603,91.41121359223301,98.92677499999999,106.9643025
2000,central,0.9130924308641714,0.0003346109149408,200000,20,4215831693,80.93106936416186,92.46730769230768,99.84599999999999,108.38000000000001
2000,high,0.938790495342622,0.0003346109149408,200000,20,3394873063,82.0048245614035,93.344,100.58324999999999,108.5642025
2019,low,0.9824758697601602,0.0003767783778403,200000,20,2622655388,83.71698863636364,94.65844488188976,101.68814130434782,109.78706749999999
2019,central,0.995338171627344,0.0003767783778403,200000,20,2139660662,84.19406077348066,95.05297619047619,102.05572916666667,109.7155
2019,high,1.0051219937932478,0.0003767783778403,200000,20,1766786714,84.54653532608695,95.31290254237288,102.37240517241379,110.1287475
