year,xc_factor,Median,Top 10%,Top 1%,Top 0.01%
1900,0.8717717717717719,76.02063106796118,86.794375,93.82911538461539,101.9625525
1910,0.8693693693693696,75.9215053763441,86.6453076923077,93.50870833333333,101.425315
1920,0.8945945945945948,77.37104700854701,87.91742753623188,94.83391666666667,102.6250525
1930,0.8537537537537538,74.99038461538458,85.87055555555555,92.77844444444445,100.15042
1940,0.8561561561561564,75.05570652173913,85.953671875,93.04029166666666,100.8503825
1950,0.865765765765766,75.68665865384617,86.46313492063493,93.46752777777778,101.42511625
1960,0.8717717717717719,76.0638655462185,86.72645161290322,93.72859090909091,102.02512
1970,0.8645645645645648,75.58235294117648,86.38740000000001,93.39707142857144,101.42545000000001
1980,0.8633633633633635,75.48985042735043,86.36806818181817,93.51779166666667,101.1753375
1990,0.88978978978979,77.08805555555557,87.64908450704226,94.55316666666667,102.92566500000001
2000,0.9294294294294296,79.32475961538461,89.59008196721311,96.4602,104.22502
2010,0.9714714714714716,81.29778037383178,91.33785211267605,97.97948529411764,105.76253125000001
2020,1.0051051051051054,82.82954545454545,92.61119047619047,99.05911363636363,106.550045
